query	target	taxid	taxname	taxlineage	fident	alnlen	tstart	tend	tlen	evalue	bits	qtmscore	rmsd
hydrolase_2090_AF3.cif	AF-A0A371MMW4-F1-model_v4	2077203	Haloferax sp. Atlit-12N	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-12N	0.724	290	1	290	290	8.796E-45	1782	9.287E-01	3.555E+00
hydrolase_2090_AF3.cif	AF-M0HFN7-F1-model_v4	1227459	Haloferax gibbonsii ATCC 33959	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax gibbonsii;-_Haloferax gibbonsii ATCC 33959	0.724	290	1	290	290	1.548E-44	1776	9.305E-01	3.569E+00
hydrolase_2090_AF3.cif	AF-A0A0D6JRZ7-F1-model_v4	1476858	Haloferax massiliensis	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax massiliensis	0.696	290	1	290	290	3.613E-44	1765	9.326E-01	3.437E+00
hydrolase_2090_AF3.cif	AF-A0A871BD94-F1-model_v4	35746	Haloferax gibbonsii	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax gibbonsii	0.724	290	1	290	290	8.796E-45	1764	9.194E-01	3.233E+00
hydrolase_2090_AF3.cif	AF-I3R2Q4-F1-model_v4	523841	Haloferax mediterranei ATCC 33500	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax mediterranei;-_Haloferax mediterranei ATCC 33500	0.751	290	1	290	290	1.733E-44	1763	9.145E-01	5.906E+00
hydrolase_2090_AF3.cif	AF-M0FJT4-F1-model_v4	1227464	Haloferax sp. ATCC BAA-646	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. ATCC BAA-646	0.700	290	1	290	290	7.970E-44	1758	9.354E-01	3.237E+00
hydrolase_2090_AF3.cif	AF-A0A0K1IR80-F1-model_v4	35746	Haloferax gibbonsii	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax gibbonsii	0.720	290	1	290	290	4.793E-44	1757	9.306E-01	3.481E+00
hydrolase_2090_AF3.cif	AF-A0A498EH53-F1-model_v4	2282133	Haloferax sp. Atlit-105R	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-105R	0.703	290	1	290	290	9.991E-44	1755	9.384E-01	3.182E+00
hydrolase_2090_AF3.cif	AF-M0G1X4-F1-model_v4	1227463	Haloferax sp. ATCC BAA-645	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. ATCC BAA-645	0.700	290	1	290	290	1.184E-43	1747	9.341E-01	3.439E+00
hydrolase_2090_AF3.cif	AF-A0A371KTK3-F1-model_v4	2077200	Haloferax sp. Atlit-24N	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-24N	0.703	290	1	290	290	1.570E-43	1742	9.390E-01	2.500E+00
hydrolase_2090_AF3.cif	AF-A0A847TSW2-F1-model_v4	114529	Haloferax alexandrinus	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax alexandrinus	0.703	290	1	290	290	4.793E-44	1739	9.177E-01	3.431E+00
hydrolase_2090_AF3.cif	AF-A0A558G7K0-F1-model_v4	2246	Haloferax volcanii	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax volcanii	0.703	290	1	290	290	1.860E-43	1739	9.336E-01	3.435E+00
hydrolase_2090_AF3.cif	AF-M0FRY2-F1-model_v4	1227462	Haloferax sp. ATCC BAA-644	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. ATCC BAA-644	0.700	290	1	290	290	1.969E-43	1737	9.333E-01	3.513E+00
hydrolase_2090_AF3.cif	AF-A0A371L4M6-F1-model_v4	2077199	Haloferax sp. Atlit-47N	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-47N	0.703	290	1	290	290	9.991E-44	1733	9.213E-01	3.382E+00
hydrolase_2090_AF3.cif	AF-A0A842PMT6-F1-model_v4	2562277	Haloferax sp. AS1	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. AS1	0.703	290	1	290	290	2.332E-43	1731	9.302E-01	3.651E+00
hydrolase_2090_AF3.cif	AF-A0A6C0UX32-F1-model_v4	114529	Haloferax alexandrinus	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax alexandrinus	0.703	290	1	290	290	3.464E-43	1730	9.353E-01	3.354E+00
hydrolase_2090_AF3.cif	AF-M0I679-F1-model_v4	1227458	Haloferax alexandrinus JCM 10717	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax alexandrinus;-_Haloferax alexandrinus JCM 10717	0.703	290	1	290	290	1.119E-43	1730	9.194E-01	3.604E+00
hydrolase_2090_AF3.cif	AF-A0A371MDT2-F1-model_v4	2077204	Haloferax sp. Atlit-10N	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-10N	0.720	290	1	290	290	1.119E-43	1729	9.147E-01	5.714E+00
hydrolase_2090_AF3.cif	AF-L5NX43-F1-model_v4	1296625	Haloferax sp. BAB-2207	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. BAB-2207	0.703	290	1	290	290	1.662E-43	1723	9.193E-01	5.382E+00
hydrolase_2090_AF3.cif	AF-A0A498EDQ7-F1-model_v4	2282134	Haloferax sp. Atlit-109R	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-109R	0.703	290	1	290	290	1.184E-43	1723	9.136E-01	3.747E+00
hydrolase_2090_AF3.cif	AF-M0GJN3-F1-model_v4	1230452	Haloferax lucentense DSM 14919	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax lucentense;-_Haloferax lucentense DSM 14919	0.703	290	1	290	290	1.057E-43	1719	9.113E-01	3.676E+00
hydrolase_2090_AF3.cif	AF-A0A895AJU1-F1-model_v4	2812551	Halobacterium sp. GSL-19	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halobacterium;-_unclassified Halobacterium;s_Halobacterium sp. GSL-19	0.669	284	7	290	290	5.523E-42	1674	9.106E-01	4.369E+00
hydrolase_2090_AF3.cif	AF-A0A371KGK7-F1-model_v4	2077198	Haloferax sp. Atlit-48N	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-48N	0.703	290	1	290	290	1.345E-42	1673	9.028E-01	5.828E+00
hydrolase_2090_AF3.cif	AF-A0A895AFD3-F1-model_v4	2810537	Halobacterium sp. BOL4-2	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halobacterium;-_unclassified Halobacterium;s_Halobacterium sp. BOL4-2	0.669	284	7	290	290	7.326E-42	1668	9.095E-01	4.356E+00
hydrolase_2090_AF3.cif	AF-J3A527-F1-model_v4	1210908	Halogranum salarium B-1	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Halogranum;s_Halogranum salarium;-_Halogranum salarium B-1	0.623	292	2	292	294	2.577E-40	1565	8.973E-01	4.265E+00
hydrolase_2090_AF3.cif	AF-A0A1I4ECI6-F1-model_v4	553466	Halogranum rubrum	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Halogranum;s_Halogranum rubrum	0.626	292	2	292	294	6.014E-40	1559	9.037E-01	3.883E+00
hydrolase_2090_AF3.cif	AF-E7QRC9-F1-model_v4	797209	Haladaptatus paucihalophilus DX253	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haladaptatus;s_Haladaptatus paucihalophilus;-_Haladaptatus paucihalophilus DX253	0.588	277	2	277	286	7.334E-38	1499	8.841E-01	4.199E+00
hydrolase_2090_AF3.cif	AF-A0A1D2QC87-F1-model_v4	1897478	Haladaptatus sp. W1	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haladaptatus;-_unclassified Haladaptatus;s_Haladaptatus sp. W1	0.589	290	3	291	300	1.507E-38	1493	9.004E-01	4.221E+00
hydrolase_2090_AF3.cif	AF-A0A1M6QHW3-F1-model_v4	797209	Haladaptatus paucihalophilus DX253	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haladaptatus;s_Haladaptatus paucihalophilus;-_Haladaptatus paucihalophilus DX253	0.588	289	4	291	300	4.410E-38	1483	9.028E-01	4.199E+00
hydrolase_2090_AF3.cif	AF-A0A166SG65-F1-model_v4	1679489	Haladaptatus sp. R4	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haladaptatus;-_unclassified Haladaptatus;s_Haladaptatus sp. R4	0.559	293	2	293	302	3.142E-38	1479	8.957E-01	5.575E+00
hydrolase_2090_AF3.cif	AF-A0A0W1R9H8-F1-model_v4	1514971	Haloprofundus marisrubri	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloprofundus;s_Haloprofundus marisrubri	0.535	295	2	295	297	5.528E-38	1476	9.011E-01	3.554E+00
hydrolase_2090_AF3.cif	AF-A0A6G3ZKK6-F1-model_v4	2283638	Halorussus sp. MSC15.2	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halorussus;-_unclassified Halorussus;s_Halorussus sp. MSC15.2	0.542	295	1	293	293	1.169E-36	1439	9.092E-01	3.745E+00
hydrolase_2090_AF3.cif	AF-A0A1N6WQJ8-F1-model_v4	553468	Haladaptatus litoreus	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haladaptatus;s_Haladaptatus litoreus	0.523	292	3	293	302	6.645E-37	1430	8.915E-01	6.607E+00
hydrolase_2090_AF3.cif	AF-A0A6B0GHS1-F1-model_v4	671145	Halomarina oriensis	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halomarina;s_Halomarina oriensis	0.500	294	5	296	304	3.831E-36	1424	9.218E-01	2.869E+00
hydrolase_2090_AF3.cif	AF-A0A365T8R6-F1-model_v4	29295	halophilic archaeon	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;-_unclassified Halobacteriales;s_halophilic archaeon	0.517	294	1	293	302	4.872E-35	1372	9.052E-01	3.810E+00
hydrolase_2090_AF3.cif	AF-E7QRC8-F1-model_v4	797209	Haladaptatus paucihalophilus DX253	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haladaptatus;s_Haladaptatus paucihalophilus;-_Haladaptatus paucihalophilus DX253	0.439	291	5	290	299	1.256E-31	1210	8.858E-01	3.610E+00
hydrolase_2090_AF3.cif	AF-A0A1D2QC66-F1-model_v4	1897478	Haladaptatus sp. W1	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haladaptatus;-_unclassified Haladaptatus;s_Haladaptatus sp. W1	0.436	291	5	290	299	2.619E-31	1198	8.852E-01	3.695E+00
hydrolase_2090_AF3.cif	AF-A0A1N6WQR0-F1-model_v4	553468	Haladaptatus litoreus	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haladaptatus;s_Haladaptatus litoreus	0.457	291	5	289	299	5.778E-31	1176	8.833E-01	3.432E+00
hydrolase_2090_AF3.cif	AF-A0A1G9TW67-F1-model_v4	996166	Haloarchaeobius iranensis	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haloarchaeobius;s_Haloarchaeobius iranensis	0.384	302	15	296	296	9.222E-26	906	7.995E-01	9.690E+00
hydrolase_2090_AF3.cif	AF-A0A285N4T7-F1-model_v4	558529	Natronoarchaeum philippinense	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Natronoarchaeaceae;g_Natronoarchaeum;s_Natronoarchaeum philippinense	0.359	298	1	279	279	1.048E-24	890	8.022E-01	6.903E+00
hydrolase_2090_AF3.cif	AF-A0A6B0GHB1-F1-model_v4	671145	Halomarina oriensis	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halomarina;s_Halomarina oriensis	0.362	317	1	292	292	4.066E-24	844	7.941E-01	6.349E+00
hydrolase_2090_AF3.cif	AF-A0A3A5JEH7-F1-model_v4	2321230	Halococcus sp. IIIV-5B	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halococcaceae;g_Halococcus;-_unclassified Halococcus;s_Halococcus sp. IIIV-5B	0.354	302	17	304	304	3.843E-24	841	7.971E-01	1.435E+01
hydrolase_2090_AF3.cif	AF-A0A1G7NPL8-F1-model_v4	660518	Halorientalis regularis	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Halorientalis;s_Halorientalis regularis	0.316	303	9	293	295	1.767E-23	837	8.169E-01	5.208E+00
hydrolase_2090_AF3.cif	AF-A0A6B0T947-F1-model_v4	2692199	Halovenus carboxidivorans	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halovenus;s_Halovenus carboxidivorans	0.321	314	29	329	329	1.767E-23	827	8.118E-01	1.231E+01
hydrolase_2090_AF3.cif	AF-A0A1G8V2I7-F1-model_v4	1095776	Natronorubrum texcoconense	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Natrialbales;f_Natrialbaceae;g_Natronorubrum;s_Natronorubrum texcoconense	0.347	308	15	302	302	3.482E-23	814	7.918E-01	1.458E+01
hydrolase_2090_AF3.cif	AF-A0A2R6JQA9-F1-model_v4	1919187	Halobacteriales archaeon QS_8_69_26	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;-_unclassified Halobacteriales;s_Halobacteriales archaeon QS_8_69_26	0.323	297	39	323	323	1.078E-22	814	8.070E-01	1.187E+01
hydrolase_2090_AF3.cif	AF-A0A6A7LH89-F1-model_v4	2169593	Nitrososphaeraceae archaeon	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon	0.285	329	37	354	357	1.897E-22	814	8.195E-01	6.904E+00
hydrolase_2090_AF3.cif	AF-M0B9C6-F1-model_v4	1227490	Halovivax asiaticus JCM 14624	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Natrialbales;f_Natrialbaceae;g_Halovivax;s_Halovivax asiaticus;-_Halovivax asiaticus JCM 14624	0.325	301	1	279	279	1.793E-22	804	7.843E-01	1.443E+01
hydrolase_2090_AF3.cif	AF-A0A1H8N4I1-F1-model_v4	1367881	Halorientalis persicus	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Halorientalis;s_Halorientalis persicus	0.303	303	9	293	295	1.793E-22	802	8.120E-01	5.048E+00
hydrolase_2090_AF3.cif	AF-A0A166S7I3-F1-model_v4	1679489	Haladaptatus sp. R4	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Haladaptatus;-_unclassified Haladaptatus;s_Haladaptatus sp. R4	0.343	268	55	302	305	1.624E-21	796	7.824E-01	2.088E+00
hydrolase_2090_AF3.cif	AF-A0A498KX20-F1-model_v4	2479928	Halorientalis pallida	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Halorientalis;s_Halorientalis pallida	0.346	303	26	318	321	1.019E-22	792	7.961E-01	8.931E+00
hydrolase_2090_AF3.cif	AF-A0A1Q1FMJ7-F1-model_v4	1932360	Halorientalis sp. IM1011	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Halorientalis;-_unclassified Halorientalis;s_Halorientalis sp. IM1011	0.314	283	1	265	267	3.792E-21	791	7.996E-01	4.129E+00
hydrolase_2090_AF3.cif	AF-A0A0B5GHC8-F1-model_v4	1592728	Haloarcula sp. CBA1115	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;-_unclassified Haloarcula;s_Haloarcula sp. CBA1115	0.327	293	2	278	280	3.738E-22	790	7.839E-01	6.897E+00
hydrolase_2090_AF3.cif	AF-A0A847UIV1-F1-model_v4	43776	Haloarcula argentinensis	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;s_Haloarcula argentinensis	0.336	294	2	278	280	3.738E-22	788	7.827E-01	6.514E+00
hydrolase_2090_AF3.cif	AF-A0A842Q411-F1-model_v4	2169593	Nitrososphaeraceae archaeon	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon	0.315	247	30	268	327	2.066E-20	787	7.764E-01	1.606E+00
hydrolase_2090_AF3.cif	AF-A0A498L3X7-F1-model_v4	2479928	Halorientalis pallida	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Halorientalis;s_Halorientalis pallida	0.303	303	9	292	294	6.216E-22	786	8.098E-01	6.016E+00
hydrolase_2090_AF3.cif	AF-A0A482TKS1-F1-model_v4	51589	Haloarcula hispanica	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;s_Haloarcula hispanica	0.331	308	3	294	296	1.352E-22	781	7.859E-01	1.671E+01
hydrolase_2090_AF3.cif	AF-A0A6A7LJP9-F1-model_v4	2169593	Nitrososphaeraceae archaeon	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;-_unclassified Nitrososphaeraceae;s_Nitrososphaeraceae archaeon	0.280	335	47	372	376	1.371E-21	777	8.166E-01	8.814E+00
hydrolase_2090_AF3.cif	AF-A0A4D6HEL8-F1-model_v4	1457250	Halapricum salinum	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Halapricum;s_Halapricum salinum	0.352	301	27	308	308	6.216E-22	775	7.917E-01	1.048E+01
hydrolase_2090_AF3.cif	AF-A0A830EFI2-F1-model_v4	932660	Haloarcula sebkhae	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;s_Haloarcula sebkhae	0.332	292	1	275	277	2.036E-21	769	7.828E-01	7.737E+00
hydrolase_2090_AF3.cif	AF-L0IC65-F1-model_v4	797302	Halovivax ruber XH-70	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Natrialbales;f_Natrialbaceae;g_Halovivax;s_Halovivax ruber;-_Halovivax ruber XH-70	0.334	311	12	300	300	2.007E-22	769	7.729E-01	1.148E+01
hydrolase_2090_AF3.cif	AF-A0A654M5S1-F1-model_v4	1353260	Candidatus Nitrosocosmicus oleophilus	-_cellular organisms;d_Archaea;-_TACK group;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;g_Candidatus Nitrosocosmicus;s_Candidatus Nitrosocosmicus oleophilus	0.276	336	14	336	379	2.516E-22	767	7.802E-01	1.130E+01
