protein_id,signal_peptide,probability,cleavage_site,cleavage_site_prob
WP_253482368.1@GCF_024138125.1,Tat/SPI,0.999971,31-32,0.915037
JAKCFM010000001.1_1886@GCA_025041195.1,Tat/SPI,1.000003,30-31,0.709317
WP_227376032.1@GCF_020618475.1,Tat/SPI,0.999991,31-32,0.918415
AOLX01000025.1_214,Tat/SPI,0.987486,41-42,0.577485
WP_049970329.1@GCF_000710615.1,Tat/SPI,0.998512,40-41,0.877207
WP_227376033.1@GCF_020618475.1,Tat/SPI,1.000002,30-31,0.918086
WP_178335851.1@GCF_013391105.1,Tat/SPI,0.995980,42-43,0.891470
I3R2Q4,Tat/SPI,1.000006,28-29,0.893288
A0A6B0T947,Tat/SPI,0.924977,58-59,0.806415
A0A285N4T7,Tat/SPI,0.999975,26-27,0.921581
WP_227774492.1@GCF_020700235.1,Tat/SPI,0.999982,31-32,0.922326
CP094974.1_2033@GCA_022869805.1,Tat/SPI,0.938845,44-45,0.765984
NZ_CP035119.1_2382,Tat/SPI,0.999993,31-32,0.907972
NZ_BCNB01000006.1_1380,Tat/SPI,0.988660,41-42,0.433127
A0A1G8V2I7,Tat/SPI,0.995194,44-45,0.854973
A0A2R6GJ55,Tat/SPI,0.999967,26-27,0.929383
CP071596.1_2809@GCA_017357105.2,Tat/SPI,0.999517,44-45,0.887121
ML241305.1_276@GCA_005239435.1,Tat/SPI,0.999992,31-32,0.918450
WP_256399177.1@GCF_024495425.1,Tat/SPI,0.999755,43-44,0.908422
WP_227774493.1@GCF_020700235.1,Tat/SPI,0.999990,33-34,0.874601
A0A2P4NW45,Tat/SPI,1.000001,28-29,0.914423
NZ_AOII01000017.1_1,Tat/SPI,0.816365,48-49,0.414177
A0A2R6HHF1,Tat/SPI,0.999960,39-40,0.900830
WP_136717420.1@GCF_005049285.1,Tat/SPI,0.971924,49-50,0.863015
JAFAQB010000083.1_12,Sec/SPI,0.997802,35-36,0.970765
WP_132057481.1@GCF_004143485.2,Tat/SPI,0.999982,31-32,0.920049
A0A1N6WQR0,Tat/SPI,0.999982,31-32,0.924658
A0A4D6HEL8,Tat/SPI,0.993184,44-45,0.614496
NZ_AOLK01000012.1_176,Tat/SPI,0.999964,29-30,0.877703
WP_250872200.1@GCF_023699475.1,Tat/SPI,1.000010,34-35,0.909198
A0A1N6WQJ8,Tat/SPI,0.999971,32-33,0.890437
NZ_CP019154.1_2373,Tat/SPI,0.987661,41-42,0.734647
WP_162477744.1@GCF_009898475.1,Sec/SPI,0.998913,28-29,0.967844
A0A1G7NPL8,Tat/SPI,0.999985,39-40,0.892205
WP_231184040.1@GCF_021083305.1,Tat/SPI,1.000003,30-31,0.919284
JAHENP010000151.1_1,Tat/SPI,0.993132,44-45,0.887162
WP_101297784.1@GCF_002844195.1,Tat/SPI,0.999987,31-32,0.870573
WP_220579815.1@GCF_019599505.1,Tat/SPI,0.923208,27-28,0.792037
A0A9E7STM1,Tat/SPI,0.998381,44-45,0.891511
WP_256300310.1@GCF_024464185.1,Tat/SPI,0.999724,43-44,0.899456
NZ_CP100756.1_2758,Tat/SPI,0.970004,60-61,0.836858
JADKAQ010000016.1_53,Sec/SPII,0.563108,46-47,0.673119
WP_058828042.1@GCF_001482285.1,Tat/SPI,0.999985,28-29,0.906096
WP_136716585.1@GCF_005049285.1,Tat/SPI,0.998058,45-46,0.870786
NZ_CP035119.1_2836,Tat/SPI,0.999227,39-40,0.905391
NZ_ML974127.1_1407,Tat/SPI,0.999102,38-39,0.903370
WP_049971178.1@GCF_000710615.1,Tat/SPI,0.999991,32-33,0.892021
A0A1N6YR21,Tat/SPI,0.998330,40-41,0.874421
JAHFTO010000030.1_13@GCA_023269355.1,Sec/SPI,0.997769,17-18,0.959111
WP_252698912.1@GCF_023973145.1,Tat/SPI,0.999416,44-45,0.890593
WP_250874611.1@GCF_023699475.1,Tat/SPI,0.999987,31-32,0.929007
WP_247001299.1@GCF_023028105.1,Tat/SPI,0.997769,44-45,0.880956
A0A498L3X7,Tat/SPI,0.999962,39-40,0.888252
WP_135826158.1@GCF_004765785.1,Tat/SPI,0.995545,42-43,0.903156
B9LWQ7,Tat/SPI,0.835916,52-53,0.539857
M0GTD3,Tat/SPI,0.999984,29-30,0.887595
WP_231183056.1@GCF_021083305.1,Tat/SPI,0.999569,39-40,0.881172
A0A365T8R6,Tat/SPI,1.000007,31-32,0.914283
JAATVK010000203.1_6@GCA_014523485.1,Sec/SPI,0.778741,22-23,0.709653
NZ_JALIQP010000003.1_86,Tat/SPI,0.947796,58-59,0.719748
WP_158057523.1@GCF_008831545.1,Tat/SPI,0.989934,45-46,0.749606
LKNH01000051.1_10@GCA_001564135.1,Tat/SPI,0.987551,51-52,0.859519
MCH7660965.1@GCA_022561895.1,Tat/SPI,0.999992,28-29,0.890491
WP_227355121.1@GCF_020614375.1,Tat/SPI,0.999995,30-31,0.920871
M0I6U3,Tat/SPI,1.000021,28-29,0.879412
WP_253435879.1@GCF_024138145.1,Tat/SPI,0.999389,44-45,0.891946
WP_049998595.1@GCF_000755245.1,Tat/SPI,0.999991,29-30,0.862271
WP_158057020.1@GCF_008831545.1,Tat/SPI,0.999934,36-37,0.918800
A0A0W1R9H8,Tat/SPI,0.999990,33-34,0.786414
WP_255169792.1@GCF_024362525.1,Tat/SPI,1.000009,29-30,0.936165
WP_250139651.1@GCF_023566055.1,Tat/SPI,0.855154,43-44,0.535098
WP_160134101.1@GCF_009900715.1,Tat/SPI,0.997248,46-47,0.907362
NZ_CP100445.1_3244,Tat/SPI,0.914131,48-49,0.718336
WP_246982822.1@GCF_023028345.1,Tat/SPI,0.999981,26-27,0.927216
WP_254543733.1@GCF_024228315.1,Tat/SPI,0.999988,36-37,0.896558
L9WEY7,Tat/SPI,0.980790,51-52,0.745596
A0A8J8C4B2,Tat/SPI,0.979248,27-28,0.850789
A0A166SG65,Tat/SPI,0.999988,32-33,0.907030
A0A1H8N4I1,Tat/SPI,0.999992,39-40,0.867411
A0A1H8HEB9,Tat/SPI,0.999767,43-44,0.872968
A0A1D2QC66,Tat/SPI,1.000004,31-32,0.920463
A0A482TKS1,Tat/SPI,0.999590,31-32,0.715874
A0A3N5VVJ6,Sec/SPI,0.989356,32-33,0.701423
A0A871BD94,Tat/SPI,0.999989,28-29,0.917414
A0A1D2QAF5,Tat/SPI,0.999832,39-40,0.902185
A0A935SAT3,Sec/SPII,1.000032,21-22,0.987819
A0A9C7Q647,Sec/SPI,0.810359,21-22,0.749514
A0A371MMW4,Tat/SPI,1.000014,28-29,0.906193
M0FJT4,Tat/SPI,0.999980,28-29,0.893383
A0A2R6N584,Tat/SPI,0.999954,39-40,0.901903
A0A9Q4L4D4,Tat/SPI,0.982571,59-60,0.850098
A0A0K1IR80,Tat/SPI,0.999989,28-29,0.917414
A0A498EDQ7,Tat/SPI,0.999986,28-29,0.894215
A0A2R6KDZ0,Tat/SPI,0.999973,30-31,0.944400
A0A1H7H3G6,Tat/SPI,0.999984,29-30,0.887595
A0A5J5LPB7,Tat/SPI,0.999590,31-32,0.715874
M0FRY2,Tat/SPI,0.999980,28-29,0.893383
A0A1D2QC87,Tat/SPI,0.999997,30-31,0.920154
A0A4P9TI00,Tat/SPI,0.870287,48-49,0.389105
A0A498EH53,Tat/SPI,0.999986,28-29,0.894215
A0A371L4M6,Tat/SPI,0.999986,28-29,0.894215
M0GJN3,Tat/SPI,0.999986,28-29,0.894215
A0A371KGK7,Tat/SPI,0.999986,28-29,0.894215
L5NX43,Tat/SPI,0.999986,28-29,0.894215
M0KAD2,Tat/SPI,0.841882,26-27,0.367051
M0G1X4,Tat/SPI,0.999980,28-29,0.893383
A0A8U0IEE7,Tat/SPI,1.000002,29-30,0.920442
A0A8J7ZMN7,Tat/SPI,0.999959,25-26,0.917001
A0A842PMT6,Tat/SPI,0.999986,28-29,0.894215
A0A3A5JEH7,Tat/SPI,0.997069,46-47,0.862034
A0A9C7Q6P3,Tat/SPI,1.000008,31-32,0.919572
A0A842Q6H6,Sec/SPI,0.502342,19-20,0.315101
A0A558G7K0,Tat/SPI,0.999986,28-29,0.894215
A0A371M0N6,Tat/SPI,0.999989,28-29,0.917414
A0A495R8U6,Tat/SPI,0.998190,41-42,0.886323
A0A6C0UX32,Tat/SPI,0.999986,28-29,0.894215
A0A847TIE2,Tat/SPI,0.969357,41-42,0.467277
A0A371LCK8,Tat/SPI,0.999972,29-30,0.911963
M0B9C6,Sec/SPI,0.995913,20-21,0.934623
A0A895AJU1,Tat/SPI,0.999975,28-29,0.871517
A0A838TZW7,Sec/SPI,0.569200,28-29,0.474516
A0A371KTK3,Tat/SPI,0.999986,28-29,0.894215
J3A527,Tat/SPI,1.000005,31-32,0.517311
