DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,2090 homologs
GCA_016184315.1,-1
GCA_016190055.1,-1
GCA_016193005.1,-1
GCA_016200025.1,-1
GCA_016200035.1,-1
GCA_016200045.1,-1
GCA_016201435.1,-1
GCA_016206275.1,-1
GCA_016276965.1,1
GCA_016432545.1,-1
GCA_016782225.1,1
GCA_016782315.1,1
GCA_016838795.1,-1
GCA_016838825.1,1
GCA_016838845.1,1
GCA_016871975.1,-1
GCA_016871995.1,-1
GCA_016872015.1,1
GCA_016872055.1,-1
GCA_018334095.1,1
GCA_018647405.1,1
GCA_018657375.1,-1
GCA_018674605.1,-1
GCA_018691945.1,1
GCA_019246625.1,-1
GCA_020027255.1,-1
GCA_020027325.1,1
GCA_020027365.1,1
GCA_020431985.1,1
GCA_021155845.1,-1
GCA_021162925.1,-1
GCA_021296165.1,-1
GCA_021323705.1,-1
GCA_021324115.1,-1
GCA_021324715.1,-1
GCA_021325075.1,-1
GCA_021325255.1,-1
GCA_021325295.1,-1
GCA_021325595.1,-1
GCA_021414365.1,1
GCA_021791695.1,-1
GCA_021792315.1,-1
GCA_021792955.1,-1
GCA_021796515.1,-1
GCA_021798095.1,-1
GCA_021800855.1,-1
GCA_021806865.1,-1
GCA_021811935.1,-1
GCA_021819035.1,-1
GCA_021827865.1,-1
GCA_021828185.1,-1
GCA_021848045.1,-1
GCA_021851265.1,-1
GCA_022117465.1,1
GCA_022449325.1,-1
GCA_022450565.1,1
GCA_022545875.1,-1
GCA_022545895.1,-1
GCA_022562615.1,-1
GCA_022564515.1,1
GCA_022572285.1,-1
GCA_022573065.1,-1
GCA_022574415.1,1
GCA_023250885.1,-1
GCA_023251115.1,-1
GCA_023251295.1,-1
GCA_023251795.1,-1
GCA_023252335.1,-1
GCA_023252395.1,-1
GCA_023256355.1,-1
GCA_023256385.1,-1
GCA_023256405.1,-1
GCA_023264875.1,-1
GCA_023265135.1,1
GCA_023266955.1,-1
GCA_023379805.1,-1
GCA_023381255.1,-1
GCA_024256165.1,-1
GCA_024256245.1,-1
GCA_024256265.1,-1
GCA_024256285.1,-1
GCA_024644385.1,1
GCA_024860875.1,-1
GCA_025054855.1,-1
GCA_025058425.1,-1
GCA_900065925.1,-1
GCA_900299125.1,1
GCA_902578515.1,1
GCA_902812485.1,-1
GCA_902812495.1,-1
GCA_933226995.1,-1
GCF_000018465.1,-1
GCF_000220175.1,1
GCF_000303155.1,-1
GCF_000685395.1,1
GCF_000698785.1,-1
GCF_000723185.1,1
GCF_000730285.1,-1
GCF_000802205.1,1
GCF_000812185.1,-1
GCF_000955905.1,1
GCF_001870125.1,1
GCF_002156965.1,-1
GCF_002787055.1,-1
GCF_007826885.1,-1
GCF_008389435.1,-1
GCF_009898475.1,1
GCF_013340765.1,-1
GCF_013407275.1,1
GCF_014078545.1,1
GCF_018128925.1,1
GCF_900143675.1,-1
GCF_900167955.1,-1
GCF_900177045.1,-1
GCF_900248165.1,-1
