id,gtdb_id,db_proka_id,uniprot_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_phylum,ncbi_class,ncbi_order,ncbi_family,ncbi_genus,ncbi_species,tstart,tend,evalue,bits
A0A0K1IR80,,,A0A0K1IR80,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax gibbonsii,1,290,1.0839999999999999e-135,439
WP_058828042.1@GCF_001482285.1,NZ_LOEP01000032.1_74,WP_058828042.1@GCF_001482285.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax sp001482285,,,,,,,1,290,4.818e-135,437
A0A371LK82,NZ_AOLG01000009.1_386,WP_008092295.1@GCF_000336815.1,A0A371LK82,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax prahovense,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-16N,1,290,6.602e-135,437
A0A2P4NW45,NZ_LOPW02000001.1_77,WP_058565839.1@GCF_001469875.2,A0A2P4NW45,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax marisrubri,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax marisrubri,1,290,1.698e-134,436
A0A371LCK8,,,A0A371LCK8,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-19N,1,290,4.747e-134,434
A0A6C0UX32,,,A0A6C0UX32,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax alexandrinus,1,290,4.3979999999999996e-130,423
A0A558G7K0,,,A0A558G7K0,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,1,290,4.3979999999999996e-130,423
A0A498EDQ7,,,A0A498EDQ7,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-109R,1,290,6.026e-130,422
A0A498EH53,,,A0A498EH53,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-105R,1,290,6.026e-130,422
L5NX43,,,L5NX43,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. BAB-2207,1,290,6.026e-130,422
A0A371L4M6,,,A0A371L4M6,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-47N,1,290,6.026e-130,422
A0A371KTK3,,,A0A371KTK3,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-24N,1,290,6.026e-130,422
A0A371KGK7,,,A0A371KGK7,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-48N,1,290,6.026e-130,422
A0A842PMT6,,,A0A842PMT6,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. AS1,1,290,6.026e-130,422
M0GJN3,,,M0GJN3,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax lucentense,1,290,6.026e-130,422
M0G1X4,,,M0G1X4,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. ATCC BAA-645,1,290,4.953e-128,417
M0FRY2,,,M0FRY2,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. ATCC BAA-644,1,290,4.953e-128,417
M0FJT4,,,M0FJT4,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. ATCC BAA-646,1,290,4.953e-128,417
A0A0D6JRZ7,NZ_CSTE01000002.1_1319,WP_089778894.1@GCF_001368915.1,A0A0D6JRZ7,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax massiliensis,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax massiliensis,1,290,6.246000000000001e-128,417
A0A895AJU1,,,A0A895AJU1,Archaea,,,,,,,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium sp. GSL-19,1,290,1.089e-119,393
A0A1I4ECI6,NZ_FOTC01000002.1_374,,A0A1I4ECI6,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halogranum,Halogranum rubrum,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,Halogranum rubrum,4,293,2.717e-110,366
J3A527,,,J3A527,Archaea,,,,,,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,Halogranum salarium,4,293,7.588e-110,364
A0A1D2QC87,,,A0A1D2QC87,Archaea,,,,,,,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp. W1,5,290,1.646e-101,340
A0A1M6QHW3,NZ_AQXI01000001.1_33,WP_049805627.1@GCF_000376445.1,A0A1M6QHW3,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus,5,290,7.302e-101,338
E7QRC9,,,E7QRC9,Archaea,,,,,,,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus,2,276,1.363e-96,326
WP_231184040.1@GCF_021083305.1,NZ_JAJFAY010000001.1_1298,WP_231184040.1@GCF_021083305.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp021083305,,,,,,,6,290,1.2540000000000001e-96,326
A0A166SG65,NZ_LWHG01000021.1_274,WP_066143246.1@GCF_001625445.1,A0A166SG65,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp001625445,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp. R4,5,292,6.0430000000000005e-96,324
A0A9C7Q5X0,,,A0A9C7Q5X0,Archaea,,,,,,,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp. T7,2,276,1.232e-95,323
WP_253482368.1@GCF_024138125.1,NZ_CP099993.1_958,WP_253482368.1@GCF_024138125.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp024138125,,,,,,,5,290,7.48e-95,321
WP_129115263.1@GCF_004116405.1,NZ_SDIC01000004.1_292,WP_129115263.1@GCF_004116405.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halegenticoccus,Halegenticoccus tardaugens,,,,,,,5,284,1.4029999999999998e-94,320
WP_132057481.1@GCF_004143485.2,NZ_ML974134.1_11,WP_132057481.1@GCF_004143485.2,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus amylolyticus,,,,,,,4,291,4.983999999999999e-91,310
ML241305.1_276@GCA_005239435.1,ML241305.1_276,ML241305.1_276@GCA_005239435.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp005239435,,,,,,,4,293,3.287e-90,308
WP_049998595.1@GCF_000755245.1,NZ_BBMP01000023.1_95,WP_049998595.1@GCF_000755245.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus sediminicola,,,,,,,3,290,6.164e-90,307
A0A0W1R9H8,NZ_LOPU01000018.1_145,WP_058581119.1@GCF_001469955.1,A0A0W1R9H8,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloprofundus,Haloprofundus marisrubri,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloprofundus,Haloprofundus marisrubri,3,285,1.583e-89,306
WP_248907845.1@GCF_023276375.1,NZ_JALLPK010000001.1_2688,WP_248907845.1@GCF_023276375.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,Halocatena sp023276375,,,,,,,8,297,7.621999999999999e-89,304
A0A365T8R6,QNGA01000004.1_66,RBI60989.1@GCA_003298465.1,A0A365T8R6,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp003298465,Euryarchaeota,Halobacteria,Halobacteriales,,,halophilic archaeon,5,292,4.065e-89,304
WP_254269963.1@GCF_024218795.1,NZ_CP100400.1_1800,WP_254269963.1@GCF_024218795.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp024218795,,,,,,,4,292,3.67e-88,302
A0A1N6WQJ8,NZ_FTNO01000001.1_814,WP_076428180.1@GCF_900156425.1,A0A1N6WQJ8,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus litoreus,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus litoreus,5,292,6.881e-88,301
A0A6G3ZKK6,NZ_VSLZ01000003.1_332,,A0A6G3ZKK6,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp010747475,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp. MSC15.2,4,293,1.767e-87,300
WP_227774493.1@GCF_020700235.1,NZ_CP085301.1_3469,WP_227774493.1@GCF_020700235.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus pallidirubidus,,,,,,,5,293,8.504e-87,298
WP_049971178.1@GCF_000710615.1,NZ_JDTH01000002.1_1229,WP_049971178.1@GCF_000710615.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus cibarius,,,,,,,5,292,2.99e-86,296
WP_158057723.1@GCF_008831545.1,NZ_CP044523.1_2509,WP_158057723.1@GCF_008831545.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus halophilus,,,,,,,3,292,1.439e-85,294
NZ_CP100000.1_3638,NZ_CP100000.1_3638,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp024138165,,,,,,,5,292,5.0580000000000003e-85,293
WP_135851677.1@GCF_004765815.2,NZ_ML974127.1_845,WP_135851677.1@GCF_004765815.2,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus,,,,,,,4,289,1.304e-81,283
WP_227376033.1@GCF_020618475.1,NZ_CP085335.1_889,WP_227376033.1@GCF_020618475.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp020618475,,,,,,,5,291,9.525e-82,283
NZ_CP035119.1_2382,NZ_CP035119.1_2382,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus,,,,,,,5,290,9.525e-82,283
WP_227355121.1@GCF_020614375.1,NZ_CP085327.1_1011,WP_227355121.1@GCF_020614375.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp020614375,,,,,,,5,291,1.785e-81,282
A0A6B0GHS1,NZ_WSZK01000006.1_116,WP_158203062.1@GCF_009791395.1,A0A6B0GHS1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina oriensis,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina oriensis,7,294,3.016e-80,279
A0A8U0IEE7,,,A0A8U0IEE7,Archaea,,,,,,,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus gelatinilyticus,2,287,2.6610000000000004e-78,273
WP_254543733.1@GCF_024228315.1,NZ_CP100454.1_2787,WP_254543733.1@GCF_024228315.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina sp024228315,,,,,,,9,292,4.59e-78,273
WP_250872200.1@GCF_023699475.1,NZ_JALXFV010000002.1_324,WP_250872200.1@GCF_023699475.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina rubra,,,,,,,7,294,3.353e-78,273
NZ_CP096658.1_2442,NZ_CP096658.1_2442,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp023238445,,,,,,,4,289,2.4490000000000004e-78,273
A0A8U0HQS2,NZ_CP096659.1_2412,WP_248649346.1@GCF_023238205.1,A0A8U0HQS2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp023238205,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus limi,2,256,9.55e-76,266
A0A1N6WQR0,NZ_FTNO01000001.1_813,WP_076428178.1@GCF_900156425.1,A0A1N6WQR0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus litoreus,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus litoreus,5,289,2.614e-61,224
WP_227376032.1@GCF_020618475.1,NZ_CP085335.1_888,WP_227376032.1@GCF_020618475.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp020618475,,,,,,,5,288,9.149e-61,222
A0A9C7Q6P3,,,A0A9C7Q6P3,Archaea,,,,,,,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp. T7,5,289,8.901e-60,220
A0A1D2QC66,,,A0A1D2QC66,Archaea,,,,,,,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp. W1,5,289,4.7579999999999995e-60,220
E7QRC8,NZ_AQXI01000001.1_32,WP_007978241.1@GCF_000376445.1,E7QRC8,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus,5,289,4.379e-60,220
JAKCFM010000002.1_30@GCA_025041195.1,JAKCFM010000002.1_30,JAKCFM010000002.1_30@GCA_025041195.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,Halocatena sp025041195,,,,,,,3,299,8.968000000000001e-58,214
MCH7660965.1@GCA_022561895.1,JADFQH010000144.1_4,MCH7660965.1@GCA_022561895.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halalkalicoccaceae,Halalkalicoccus,Halalkalicoccus sp022561895,,,,,,,4,285,4.288e-57,212
WP_227774492.1@GCF_020700235.1,NZ_CP085301.1_3468,WP_227774492.1@GCF_020700235.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus pallidirubidus,,,,,,,5,289,1.096e-56,211
JAKCFJ010000001.1_2967@GCA_025041175.1,JAKCFJ010000001.1_2967,JAKCFJ010000001.1_2967@GCA_025041175.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,Halocatena sp025041175,,,,,,,22,307,4.922e-50,191
WP_256300310.1@GCF_024464185.1,NZ_JANHAU010000004.1_32,WP_256300310.1@GCF_024464185.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloarchaeobius,Haloarchaeobius salinus,,,,,,,16,281,7.265e-48,185
WP_256399177.1@GCF_024495425.1,NZ_JANHJR010000001.1_1180,WP_256399177.1@GCF_024495425.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloarchaeobius,Haloarchaeobius litoreus,,,,,,,16,280,7.265e-48,185
A0A1G9TW67,NZ_FNIA01000003.1_161,WP_089731664.1@GCF_900103505.1,A0A1G9TW67,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloarchaeobius,Haloarchaeobius iranensis,Euryarchaeota,Halobacteria,Halobacteriales,Halorubellaceae,Haloarchaeobius,Haloarchaeobius iranensis,17,292,7.265e-48,185
WP_257300007.1@GCF_024609245.1,NZ_JANJYH010000006.1_64,WP_257300007.1@GCF_024609245.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloarchaeobius,Haloarchaeobius sp024609245,,,,,,,16,282,8.812e-47,182
JAKCFJ010000003.1_583@GCA_025041175.1,JAKCFJ010000003.1_583,JAKCFJ010000003.1_583@GCA_025041175.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,Halocatena sp025041175,,,,,,,32,276,1.012e-42,170
PXRE01000005.1_33,PXRE01000005.1_33,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,PXRE01,PXRE01,PXRE01 sp003021085,,,,,,,1,173,1.666e-41,166
NZ_CP035119.1_1985,NZ_CP035119.1_1985,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus,,,,,,,18,289,2.2749999999999998e-41,166
WP_136717420.1@GCF_005049285.1,NZ_SOSC01000006.1_40,WP_136717420.1@GCF_005049285.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis salina,,,,,,,22,293,4.2369999999999995e-41,165
WP_247415690.1@GCF_023074835.1,NZ_JALLGW010000001.1_1808,WP_247415690.1@GCF_023074835.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina salina,,,,,,,7,276,4.2369999999999995e-41,165
A0A4D6HEL8,NZ_CP031310.1_2084,WP_049994777.1@GCF_004799665.1,A0A4D6HEL8,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum,18,293,1.47e-40,164
A0A3A5JEH7,,,A0A3A5JEH7,Archaea,,,,,,,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus sp. IIIV-5B,20,289,1.598e-40,164
WP_160134101.1@GCF_009900715.1,NZ_JAAAJC010000002.1_88,WP_160134101.1@GCF_009900715.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus salsus,,,,,,,20,289,2.007e-40,163
WP_227228331.1@GCF_020567425.1,NZ_JAJCVJ010000001.1_703,WP_227228331.1@GCF_020567425.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Salinirubrum,Salinirubrum litoreum,,,,,,,16,293,2.739e-40,163
NZ_JANHDP010000003.1_60,NZ_JANHDP010000003.1_60,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natronoarchaeum,Natronoarchaeum rubrum,,,,,,,3,266,3.737e-40,162
WP_256391121.1@GCF_024494695.1,NZ_JANHDP010000001.1_573,WP_256391121.1@GCF_024494695.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natronoarchaeum,Natronoarchaeum rubrum,,,,,,,3,266,3.737e-40,162
WP_227130723.1@GCF_020567525.1,NZ_JAJCVI010000001.1_161,WP_227130723.1@GCF_020567525.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Halorubellus,Halorubellus salinus,,,,,,,17,294,6.96e-40,162
WP_121740820.1@GCF_003670115.1,NZ_QQTY01000001.1_59,WP_121740820.1@GCF_003670115.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,Natronorubrum halophilum,,,,,,,59,291,9.497e-40,161
A0A285N4T7,NZ_OBEJ01000001.1_515,WP_097007546.1@GCF_900215575.1,A0A285N4T7,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natronoarchaeum,Natronoarchaeum philippinense,Euryarchaeota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natronoarchaeum,Natronoarchaeum philippinense,3,276,2.4129999999999998e-39,160
A0A6B0GHB1,NZ_WSZK01000014.1_76,WP_158203830.1@GCF_009791395.1,A0A6B0GHB1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina oriensis,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina oriensis,7,277,6.129e-39,159
NZ_QLVG01000056.1_6,NZ_QLVG01000056.1_6,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus litoreus,,,,,,,1,233,1.141e-38,158
A0A2R6JQA9,PXRX01000012.1_63,PSQ18592.1@GCA_003023195.1,A0A2R6JQA9,Archaea,Halobacteriota,Halobacteria,Halobacteriales,SW-7-71-33,SW-7-71-33,SW-7-71-33 sp003023195,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QS_8_69_26,26,309,1.556e-38,158
WP_250874611.1@GCF_023699475.1,NZ_JALXFV010000008.1_111,WP_250874611.1@GCF_023699475.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina rubra,,,,,,,7,278,2.897e-38,157
WP_101297784.1@GCF_002844195.1,NZ_PEND01000007.1_228,WP_101297784.1@GCF_002844195.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halegenticoccus,Halegenticoccus soli,,,,,,,4,276,5.391e-38,156
JAKCFM010000001.1_1886@GCA_025041195.1,JAKCFM010000001.1_1886,JAKCFM010000001.1_1886@GCA_025041195.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,Halocatena sp025041195,,,,,,,3,289,3.952e-38,156
WP_254810097.1@GCF_024298845.1,NZ_CP101156.1_1333,WP_254810097.1@GCF_024298845.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Tc-Br11,Tc-Br11 sp024298845,,,,,,,58,281,5.391e-38,156
CP071596.1_2809@GCA_017357105.2,CP071596.1_2809,CP071596.1_2809@GCA_017357105.2,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Tc-Br11,Tc-Br11 sp017357105,,,,,,,58,281,3.472e-37,154
NZ_CP095487.1_324,NZ_CP095487.1_324,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis marina,,,,,,,40,316,1.866e-37,154
CP094974.1_2033@GCA_022869805.1,CP094974.1_2033,CP094974.1_2033@GCA_022869805.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,JALIQP01,JALIQP01 sp022869805,,,,,,,58,281,6.458e-37,153
WP_254768748.1@GCF_024296665.1,NZ_CP100762.1_1194,WP_254768748.1@GCF_024296665.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,AD-4,AD-4 sp024296665,,,,,,,16,289,4.735e-37,153
WP_247001299.1@GCF_023028105.1,NZ_CP095491.1_3768,WP_247001299.1@GCF_023028105.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,JALIQP01,JALIQP01 sp023028105,,,,,,,17,288,1.638e-36,152
WP_158057020.1@GCF_008831545.1,NZ_CP044523.1_1798,WP_158057020.1@GCF_008831545.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus halophilus,,,,,,,11,284,1.2010000000000001e-36,152
WP_132058388.1@GCF_004143485.2,NZ_ML974133.1_163,WP_132058388.1@GCF_004143485.2,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus amylolyticus,,,,,,,55,287,4.1540000000000004e-36,151
NZ_CP035119.1_2836,NZ_CP035119.1_2836,,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus,,,,,,,17,286,2.234e-36,151
WP_253435879.1@GCF_024138145.1,NZ_CP099997.1_917,WP_253435879.1@GCF_024138145.1,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Tc-Br11,Tc-Br11 sp024138145,,,,,,,58,281,5.664e-36,150
