query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
NZ_LOPU01000018.1_145	WP_058581119.1@GCF_001469955.1	298	297	1.000	297	0	1	297	1	297	4.076E-238	739
DP000238.1_1280	ABK78011.1@GCA_000200715.1	234	233	1.000	233	0	1	233	1	233	7.322E-180	566
NZ_JALXFV010000008.1_111	WP_250874611.1@GCF_023699475.1	294	293	1.000	293	0	1	293	1	293	1.092E-235	731
NZ_JAJFAY010000001.1_1298	WP_231184040.1@GCF_021083305.1	301	300	1.000	300	0	1	300	1	300	1.982E-241	748
NZ_CVUA01000001.1_384	WP_053947044.1@GCF_001282785.1	243	242	1.000	242	0	1	242	1	242	1.754E-187	589
NZ_NHSQ01000084.1_122	WP_201094664.1@GCF_016653465.1	319	318	1.000	318	0	1	318	1	318	7.362E-252	780
JACZUQ010000043.1_8	MCH8996378.1@GCA_022573065.1	255	251	0.996	251	1	4	254	1	251	3.894E-189	595
NSIR01000010.1_25	PHY08290.1@GCA_002737445.1	251	249	0.995	249	1	2	250	1	249	7.251E-188	591
JAHFUM010000012.1_40	JAHFUM010000012.1_40@GCA_023265135.1	251	251	1.000	250	0	1	250	1	250	5.085E-190	597
NZ_AOJN01000055.1_3	WP_004595682.1@GCF_000337335.1	241	240	1.000	240	0	1	240	1	240	9.146E-187	586
JAATVS010000148.1_17	JAATVS010000148.1_17@GCA_014523695.1	357	357	1.000	356	0	1	356	1	356	1.456E-280	866
JALDAN010000039.1_7	JALDAN010000039.1_7@GCA_022729355.1	270	270	1.000	269	0	1	269	1	269	5.134E-209	653
PXRE01000008.1_82	PSP79695.1@GCA_003021085.1	293	292	1.000	292	0	1	292	1	292	4.632E-239	740
NZ_JAJCVI010000003.1_22	WP_264475369.1@GCF_020567525.1	231	285	0.995	230	1	1	230	56	285	1.582E-180	567
JAHFTO010000030.1_13	JAHFTO010000030.1_13@GCA_023269355.1	257	257	1.000	256	0	1	256	1	256	2.776E-202	632
NZ_CP012850.1_206	WP_196817083.1@GCF_000802205.1	392	391	1.000	391	0	1	391	1	391	3.088E-314	966
CACDFH010000003.1_72	WP_048105413.1@GCF_000812185.1	253	252	0.964	252	9	1	252	1	252	6.030E-184	580
NZ_FOCX01000010.1_13	WP_092660246.1@GCF_900110215.1	296	295	1.000	295	0	1	295	1	295	4.610E-238	738
NZ_ML974133.1_163	WP_132058388.1@GCF_004143485.2	303	302	1.000	302	0	1	302	1	302	5.779E-245	758
CAJWBY010000188.1_8	CAJWBY010000188.1_8@GCA_913020705.1	246	246	1.000	245	0	1	245	1	245	1.233E-189	595
NZ_CP095482.1_1916	WP_247006115.1@GCF_023028225.1	248	247	1.000	247	0	1	247	1	247	1.184E-196	615
NZ_MWLL01000195.1_30	WP_143447892.1@GCF_002198675.1	491	540	1.000	490	0	1	490	51	540	0.000E+00	1180
JAHFUX010000005.1_26	JAHFUX010000005.1_26@GCA_023264875.1	251	251	1.000	250	0	1	250	1	250	1.619E-190	598
NZ_QURE01000100.1_5	WP_162477744.1@GCF_009898475.1	347	346	1.000	346	0	1	346	1	346	7.361E-269	832
NZ_JALJCL010000008.1_177	WP_139171122.1@GCF_023698535.1	296	295	1.000	295	0	1	295	1	295	6.835E-239	740
JAHRAJ010000053.1_7	JAHRAJ010000053.1_7@GCA_020027365.1	282	282	1.000	281	0	1	281	1	281	1.787E-215	673
NC_015948.1_2374	WP_228841785.1@GCF_001485575.1	307	306	0.921	306	24	1	306	1	306	1.543E-223	699
NZ_VSLZ01000003.1_332	WP_254269963.1@GCF_024218795.1	294	292	0.915	283	24	11	293	10	292	1.511E-205	647
NZ_JALIQP010000002.1_29	WP_250139651.1@GCF_023566055.1	303	302	1.000	302	0	1	302	1	302	1.817E-244	757
JABFSW010000086.1_2	JAHFUX010000005.1_26@GCA_023264875.1	251	251	0.904	250	24	1	250	1	250	1.195E-170	543
NZ_LOEP01000032.1_74	WP_058828042.1@GCF_001482285.1	291	290	1.000	290	0	1	290	1	290	4.822E-232	721
NZ_BCNB01000006.1_1380	WP_228841785.1@GCF_001485575.1	307	306	1.000	306	0	1	306	1	306	2.892E-240	746
JADDOQ010000026.1_22	JADDOQ010000026.1_22@GCA_016782315.1	361	361	1.000	360	0	1	360	1	360	1.948E-292	900
NZ_WSZK01000014.1_76	WP_158203830.1@GCF_009791395.1	293	292	1.000	292	0	1	292	1	292	2.035E-234	727
NZ_JALLGW010000001.1_1808	WP_247415690.1@GCF_023074835.1	282	281	1.000	281	0	1	281	1	281	6.302E-224	696
CAJQSE010000004.1_9	KRO29845.1@GCA_001437625.1	251	250	0.912	250	22	1	250	1	250	5.772E-173	549
CP094974.1_2033	CP094974.1_2033@GCA_022869805.1	304	304	1.000	303	0	1	303	1	303	9.518E-244	755
JAHCGZ010000007.1_36	MCG3780453.1@GCA_022117465.1	251	250	1.000	250	0	1	250	1	250	7.447E-190	597
NZ_AOLG01000009.1_386	WP_008092295.1@GCF_000336815.1	291	290	1.000	290	0	1	290	1	290	7.150E-233	723
JAFEGH010000007.1_322	MBS0604555.1@GCA_018240065.1	282	281	1.000	281	0	1	281	1	281	1.908E-220	687
NZ_CP030846.1_1190	WP_179367889.1@GCF_013407275.1	249	248	1.000	248	0	1	248	1	248	3.987E-191	600
NZ_LWHG01000021.1_274	WP_066143246.1@GCF_001625445.1	303	302	1.000	302	0	1	302	1	302	1.860E-246	763
QOOS01000008.1_60	RCL30741.1@GCA_003331425.1	251	250	1.000	250	0	1	250	1	250	1.105E-190	599
NZ_JAJCVJ010000001.1_703	WP_227228331.1@GCF_020567425.1	309	308	1.000	308	0	1	308	1	308	1.907E-247	766
NZ_ML974127.1_1407	WP_135851178.1@GCF_004765815.2	301	300	1.000	300	0	1	300	1	300	9.459E-244	755
JAHEFU010000095.1_2	JAHEFU010000095.1_2@GCA_024645305.1	325	325	1.000	324	0	1	324	1	324	5.125E-253	784
NZ_ML974127.1_845	WP_135851677.1@GCF_004765815.2	300	299	1.000	299	0	1	299	1	299	2.367E-235	731
NZ_JDTH01000002.1_261	WP_049970329.1@GCF_000710615.1	303	302	1.000	302	0	1	302	1	302	1.860E-246	763
NZ_OBEJ01000001.1_515	WP_097007546.1@GCF_900215575.1	280	279	1.000	279	0	1	279	1	279	1.548E-224	698
NZ_WUYX01000030.1_95	WP_235920789.1@GCF_009834785.1	208	207	1.000	207	0	1	207	1	207	2.091E-164	519
NZ_CP085301.1_3469	WP_227774493.1@GCF_020700235.1	304	303	1.000	303	0	1	303	1	303	4.490E-245	759
NZ_AVSQ01000018.1_7	WP_177316534.1@GCF_000685395.1	250	249	1.000	249	0	1	249	1	249	2.086E-190	598
NZ_RDFA01000002.1_67	WP_129067984.1@GCF_004118325.1	233	242	1.000	232	0	1	232	11	242	4.602E-184	578
JACDHC010000052.1_3	MBA3977596.1@GCA_013821245.1	360	359	1.000	359	0	1	359	1	359	1.125E-289	892
JACATA010000010.1_4	NWJ68447.1@GCA_013390375.1	257	256	1.000	256	0	1	256	1	256	7.987E-195	611
JAKCFM010000001.1_752	JAKCFM010000001.1_752@GCA_025041195.1	298	298	1.000	297	0	1	297	1	297	1.876E-237	737
PXRK01000024.1_21	PSP91338.1@GCA_003021015.1	296	295	1.000	295	0	1	295	1	295	2.200E-240	745
NZ_CP101458.1_475	WP_255169792.1@GCF_024362525.1	287	286	1.000	286	0	1	286	1	286	1.059E-246	761
NZ_AOLK01000012.1_176	WP_007545272.1@GCF_000336955.1	291	290	0.937	289	18	1	289	1	289	7.960E-213	667
NZ_FNFE01000001.1_936	WP_090303589.1@GCF_900100335.1	303	302	1.000	302	0	1	302	1	302	4.039E-247	764
NZ_SDIC01000004.1_292	WP_129115263.1@GCF_004116405.1	293	292	1.000	292	0	1	292	1	292	1.373E-233	725
NZ_FTNO01000001.1_1649	WP_076429590.1@GCF_900156425.1	303	302	1.000	302	0	1	302	1	302	1.860E-246	763
NZ_MU078716.1_61	WP_182133752.1@GCF_014078545.1	248	247	1.000	247	0	1	247	1	247	1.046E-186	587
JAKCFM010000002.1_190	JAKCFM010000002.1_190@GCA_025041195.1	287	287	1.000	286	0	1	286	1	286	1.354E-233	724
NZ_AQXI01000001.1_33	WP_049805627.1@GCF_000376445.1	301	300	1.000	300	0	1	300	1	300	2.006E-242	751
NZ_RKLT01000002.1_637	WP_220579815.1@GCF_019599505.1	324	323	1.000	323	0	1	323	1	323	1.436E-253	786
JAEHKV010000059.1_14	KAG2478325.1@GCA_016838845.1	249	248	1.000	248	0	1	248	1	248	1.221E-188	593
NZ_JANHDP010000003.1_60	WP_256391121.1@GCF_024494695.1	280	279	1.000	279	0	1	279	1	279	1.069E-225	701
NZ_CP053941.1_2690	WP_173230835.1@GCF_013267195.1	252	251	1.000	251	0	1	251	1	251	8.914E-194	608
NZ_FOYN01000003.1_614	WP_092922766.1@GCF_900111935.1	252	251	1.000	251	0	1	251	1	251	6.086E-194	608
NZ_CP101458.1_1831	WP_255167442.1@GCF_024362525.1	308	300	1.000	300	0	8	307	1	300	1.116E-245	761
NZ_LWHG01000028.1_533	WP_066146455.1@GCF_001625445.1	306	305	1.000	305	0	1	305	1	305	8.832E-248	767
NZ_AFPU01000001.1_1089	WP_237698801.1@GCF_000220175.1	252	251	1.000	251	0	1	251	1	251	3.893E-189	595
JACASW010000013.1_13	NWK06724.1@GCA_013390785.1	251	250	1.000	250	0	1	250	1	250	5.285E-193	605
NZ_CP019067.1_1415	WP_077205936.1@GCF_001989615.1	243	242	1.000	242	0	1	242	1	242	8.671E-193	603
NZ_CP085327.1_1011	WP_227355121.1@GCF_020614375.1	302	301	1.000	301	0	1	301	1	301	3.506E-246	762
NZ_CP099997.1_917	WP_253435879.1@GCF_024138145.1	304	303	1.000	303	0	1	303	1	303	9.867E-247	764
NZ_CP011097.1_858	WP_048187716.1@GCF_000955905.1	233	249	0.995	232	1	1	232	18	249	8.745E-174	549
NZ_JALJCL010000035.1_3	WP_092695808.1@GCF_023698535.1	233	242	1.000	232	0	1	232	11	242	3.071E-182	572
NZ_FTNO01000001.1_814	WP_076428180.1@GCF_900156425.1	303	302	1.000	302	0	1	302	1	302	4.039E-247	764
NZ_CP035119.1_2836	WP_135851178.1@GCF_004765815.2	302	300	0.903	299	29	3	301	2	300	1.550E-215	676
AOLX01000025.1_214	WP_229775193.1@GCF_014647415.1	307	306	0.980	306	6	1	306	1	306	1.278E-236	736
LKNH01000051.1_10	LKNH01000051.1_10@GCA_001564135.1	363	363	1.000	362	0	1	362	1	362	1.205E-294	907
NZ_WRXM01000002.1_436	WP_162317991.1@GCF_010119205.1	324	323	1.000	323	0	1	323	1	323	4.449E-252	782
NZ_BBMP01000023.1_95	WP_049998595.1@GCF_000755245.1	294	293	1.000	293	0	1	293	1	293	2.202E-230	716
JAFGCY010000084.1_24	MBN2082604.1@GCA_016932385.1	650	649	1.000	649	0	1	649	1	649	0.000E+00	1619
JAANXC010000074.1_2	ARWO01000032.1_136@GCA_000402075.1	257	251	0.976	250	6	7	256	1	250	4.947E-188	592
RKSK01000029.1_5	RKSK01000029.1_5@GCA_007570915.1	259	259	1.000	258	0	1	258	1	258	6.465E-189	595
NZ_SBIT01000010.1_266	WP_210424182.1@GCF_004765785.1	105	104	1.000	104	0	1	104	1	104	4.202E-81	270
NZ_SBIT01000009.1_131	WP_135826158.1@GCF_004765785.1	307	306	1.000	306	0	1	306	1	306	3.351E-252	779
JAKCFM010000001.1_1886	JAKCFM010000001.1_1886@GCA_025041195.1	434	434	1.000	433	0	1	433	1	433	0.000E+00	1064
NZ_CP007026.1_810	WP_048105413.1@GCF_000812185.1	253	252	1.000	252	0	1	252	1	252	1.446E-191	602
NZ_JAJCVI010000001.1_161	WP_227130723.1@GCF_020567525.1	299	298	1.000	298	0	1	298	1	298	3.322E-242	750
NZ_CP096659.1_2412	WP_248649346.1@GCF_023238205.1	267	266	1.000	266	0	1	266	1	266	2.471E-212	662
NZ_CP085301.1_3468	WP_227774492.1@GCF_020700235.1	300	299	1.000	299	0	1	299	1	299	2.643E-244	756
NZ_JALLPK010000001.1_2688	WP_248907845.1@GCF_023276375.1	301	300	1.000	300	0	1	300	1	300	4.096E-238	739
NZ_JAMZIE010000002.1_599	WP_253737567.1@GCF_024178165.1	331	330	1.000	330	0	1	330	1	330	7.851E-256	793
NZ_CP100400.1_1800	WP_254269963.1@GCF_024218795.1	293	292	1.000	292	0	1	292	1	292	1.356E-232	722
PXSA01000026.1_2	PSQ26875.1@GCA_003023565.1	277	280	1.000	276	0	1	276	5	280	6.837E-221	687
NZ_RKSM01000001.1_109	WP_225307709.1@GCF_008729015.1	307	306	1.000	306	0	1	306	1	306	1.975E-240	746
NZ_CP095487.1_2295	WP_246982822.1@GCF_023028345.1	283	282	1.000	282	0	1	282	1	282	3.627E-231	717
NZ_FNIA01000003.1_161	WP_089731664.1@GCF_900103505.1	297	296	1.000	296	0	1	296	1	296	8.059E-242	749
QQVN01000003.1_729	RDJ34273.1@GCA_003352285.1	248	247	1.000	247	0	1	247	1	247	2.274E-187	589
SYJQ01000011.1_8	SYJQ01000011.1_8@GCA_005798405.1	252	252	1.000	251	0	1	251	1	251	2.694E-190	598
NZ_CP072036.1_2474	WP_180973714.1@GCF_018847375.1	394	435	1.000	393	0	1	393	43	435	6.413E-321	985
VHBK01000024.1_24	MBM3904681.1@GCA_016872015.1	250	249	1.000	249	0	1	249	1	249	2.113E-191	601
JAATVT010000039.1_1	JAATVT010000039.1_1@GCA_014523685.1	344	344	1.000	343	0	1	343	1	343	8.170E-277	854
NZ_CP100762.1_1194	WP_254768748.1@GCF_024296665.1	304	303	1.000	303	0	1	303	1	303	4.544E-246	762
JADFLH010000008.1_19	MCH7968181.1@GCA_022564515.1	252	251	1.000	251	0	1	251	1	251	6.009E-193	605
VYCS01000011.1_3	MYH03674.1@GCA_009843815.1	247	246	1.000	246	0	1	246	1	246	2.027E-188	592
NC_019964.1_1707	WP_015300974.1@GCF_000328525.1	301	300	1.000	300	0	1	300	1	300	3.009E-244	756
LDXL01000008.1_187	KRT60720.1@GCA_001443365.1	253	252	1.000	252	0	1	252	1	252	3.102E-191	601
NZ_JALJCL010000035.1_4	WP_129067983.1@GCF_004118325.1	317	316	0.939	316	19	1	316	1	316	1.021E-238	743
CM001158.1_702	EGG42484.1@GCA_000204585.1	186	185	1.000	185	0	1	185	1	185	8.828E-137	438
NZ_FTNO01000001.1_813	WP_076428178.1@GCF_900156425.1	300	299	1.000	299	0	1	299	1	299	5.738E-245	758
OMIR01000017.1_16	OMIR01000017.1_16@GCA_900299125.1	263	263	1.000	262	0	1	262	1	262	1.788E-197	620
NZ_JAJCVI010000003.1_361	WP_227133015.1@GCF_020567525.1	278	292	1.000	277	0	1	277	16	292	1.790E-226	703
JAHRAL010000125.1_29	JAHRAL010000125.1_29@GCA_020027325.1	255	255	1.000	254	0	1	254	1	254	2.808E-193	607
NZ_JAAOIR010000004.1_201	WP_166042001.1@GCF_011440375.1	304	291	1.000	291	0	13	303	1	291	1.241E-234	730
JAEHKU010000002.1_14	KAG2476200.1@GCA_016838825.1	255	254	1.000	254	0	1	254	1	254	1.892E-192	604
NZ_CP099993.1_958	WP_253482368.1@GCF_024138125.1	301	300	1.000	300	0	1	300	1	300	6.304E-242	750
NZ_SOSC01000001.1_299	WP_169302350.1@GCF_005049285.1	289	276	0.996	276	1	13	288	1	276	1.509E-221	691
NZ_CP044130.1_50	WP_255318060.1@GCF_009617995.1	167	249	1.000	166	0	1	166	84	249	3.196E-129	414
NZ_AOLW01000036.1_19	WP_014031239.1@GCF_000223905.1	282	281	0.949	278	14	1	278	1	278	7.212E-206	646
NZ_JANHJR010000001.1_1180	WP_256399177.1@GCF_024495425.1	296	295	1.000	295	0	1	295	1	295	7.077E-242	749
NZ_AQXI01000001.1_884	WP_007980431.1@GCF_000376445.1	303	302	1.000	302	0	1	302	1	302	1.270E-246	763
NZ_CP100756.1_2758	CP094974.1_1262@GCA_022869805.1	433	423	0.959	422	17	11	432	1	422	0.000E+00	1050
NZ_JAJFAY010000001.1_503	WP_231183056.1@GCF_021083305.1	303	302	1.000	302	0	1	302	1	302	1.860E-246	763
NZ_CP095491.1_3768	WP_247001299.1@GCF_023028105.1	303	302	1.000	302	0	1	302	1	302	1.947E-250	774
NZ_FOCX01000003.1_338	WP_139203433.1@GCF_900110215.1	317	316	1.000	316	0	1	316	1	316	7.913E-248	769
NZ_FOTC01000002.1_374	WP_009366286.1@GCF_000283335.1	295	294	0.982	294	5	1	294	1	294	3.811E-233	724
JAJXYX010000059.1_21	JAJXYX010000059.1_21@GCA_021780355.1	299	299	1.000	298	0	1	298	1	298	6.204E-231	719
JABHJJ010000155.1_2	MBT7252981.1@GCA_018691945.1	253	252	1.000	252	0	1	252	1	252	4.603E-192	603
JADFQH010000144.1_4	MCH7660965.1@GCA_022561895.1	293	292	1.000	292	0	1	292	1	292	1.373E-233	725
NZ_CP067007.1_590	WP_211687962.1@GCF_018128925.1	252	251	1.000	251	0	1	251	1	251	2.730E-191	601
JAATVK010000265.1_3	JAATVK010000265.1_3@GCA_014523485.1	329	329	1.000	328	0	1	328	1	328	1.450E-263	814
JACEMX010000025.1_9	MBA4462749.1@GCA_013867335.1	250	250	1.000	250	0	1	250	1	250	4.474E-190	597
CABXQD010000010.1_10	WP_086907417.1@GCF_002156965.1	251	250	0.916	250	21	1	250	1	250	1.872E-174	553
JAJETY010000012.1_34	WP_012215345.1@GCF_000018465.1	251	250	0.916	250	21	1	250	1	250	6.263E-178	563
CACHDH010000007.1_5	CACHDH010000007.1_5@GCA_902578515.1	257	257	1.000	256	0	1	256	1	256	3.822E-197	618
NZ_RDFA01000002.1_66	WP_129067983.1@GCF_004118325.1	317	316	1.000	316	0	1	316	1	316	2.553E-249	773
NZ_CP012850.1_278	WP_196817139.1@GCF_000802205.1	380	376	1.000	376	0	4	379	1	376	1.241E-304	937
